asset_id,canonical_site_id,canonical_slug,name_ar,slot,local_filename,sha256,mime_type,file_size_bytes,creator,copyright_holder,source_url,creation_or_capture_date,licence,permission_evidence_file,attribution_text_ar,allowed_use,territory,expiry_date,people_consent,private_property_consent,sensitive_location_review,derivative_edits,review_status,reviewer,review_date,rejection_or_hold_reason
,site-f2a7fbbda5a5,bld-jnyn-lqdym-f2a7fb,بلدة جنين القديمة,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-f2a7fbbda5a5,bld-jnyn-lqdym-f2a7fb,بلدة جنين القديمة,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-f2a7fbbda5a5,bld-jnyn-lqdym-f2a7fb,بلدة جنين القديمة,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-0ae63f2b6a17,tl-jnyn-0ae63f,تل جنين,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-0ae63f2b6a17,tl-jnyn-0ae63f,تل جنين,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-0ae63f2b6a17,tl-jnyn-0ae63f,تل جنين,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-0ae63f2b6a17,tl-jnyn-0ae63f,تل جنين,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-fe1e2a1605b5,qsr-lkyd-fe1e2a,قصر الكايد,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-fe1e2a1605b5,qsr-lkyd-fe1e2a,قصر الكايد,gallery,,,,,,,,,,,,,,,,,,,pending,,,
,site-fe1e2a1605b5,qsr-lkyd-fe1e2a,قصر الكايد,map,,,,,,,,,,,,,,,,,,,pending,,,
,site-fe1e2a1605b5,qsr-lkyd-fe1e2a,قصر الكايد,document_thumbnail,,,,,,,,,,,,,,,,,,,pending,,,
,site-2c1f6b6dbd51,knys-brqyn-2c1f6b,كنيسة برقين,hero,,,,,,,,,,,,,,,,,,,pending,,,
,site-2c1f6b6dbd51,knys-brqyn-2c1f6b,كنيسة برقين,gallery,,,,,,,,,,,,,,,,,,,pending,,,
